dealer_id,brand,company_id,name,legal_name,latitude,longitude,full_address,address_line_1,address_line_2,postal_code,city,country_code,region,province,phone,email,website,products,products_count,affiliate,main_outlet
GS0001994,Mercedes,GC0001220,Vestiging Nijmegen,Wensink Automotive B.V.,51.842369,5.804225,"Hogelandseweg 98, 6545 AB Nijmegen",Hogelandseweg 98,,6545 AB,Nijmegen,NL,,Gelderland,,,,,0,False,False
GS00112939,Mercedes,GC0037249,vestiging Breda Vans ,Louwman MB B.V.,51.606858,4.75585,"Mijkenbroek  52-56, 4824 AC Breda",Mijkenbroek  52-56,,4824 AC,Breda,NL,Noord-Brabant,Breda,,,,,0,False,False
GS0002003,Mercedes,GC0001220,Vestiging Zwolle,Wensink Automotive B.V.,52.537094,6.164508,"Lippestraat 2, 8028 PS Zwolle",Lippestraat 2,,8028 PS,Zwolle,NL,,Overijssel,,,,,0,False,False
GS0047806,Mercedes,GC0037249,Vestiging Tilburg,Louwman MB B.V.,51.586875,5.066453,"Kraaivenstraat 12, 5048 AB Tilburg",Kraaivenstraat 12,,5048 AB,Tilburg,NL,,Noord-Brabant,,,,,0,False,False
GS0047132,Mercedes,GC0037249,Vestiging Breda,Louwman MB B.V.,51.583106,4.745686,"Ettensebaan 34, 4814 NN Breda",Ettensebaan 34,,4814 NN,Breda,NL,,Noord-Brabant,,,,,0,False,False
GS0001986,Mercedes,GC0001220,Vestiging Deventer,Wensink Automotive B.V.,52.244031,6.193008,"Dortmundstraat 8, 7418 BH Deventer",Dortmundstraat 8,,7418 BH,Deventer,NL,,Overijssel,,,,,0,False,False
GS0012238,Mercedes,GC0009947,Vestiging Uden,Autoservice Van den Akker B.V.,51.67648,5.643193,"Belgenlaan 1, 5406 XN Uden",Belgenlaan 1,,5406 XN,Uden,NL,Noord-Brabant,Uden,,,,,0,False,False
GS0047803,Mercedes,GC0037249,Vestiging Veghel,Louwman MB B.V.,51.626667,5.507778,"De Amert 708, 5462 GH Veghel",De Amert 708,,5462 GH,Veghel,NL,,Noord-Brabant,,,,,0,False,False
GS0022504,Mercedes,GC0017777,Van Driel Autobedrijf B.V.,Van Driel Autobedrijf B.V.,51.576642,5.361156,"Boxtelseweg 48, 5298 VC Liempde",Boxtelseweg 48,,5298 VC,Liempde,NL,,Noord-Brabant,,,,,0,False,False
GS0001999,Mercedes,GC0001219,Vestiging Veghel,ASV Automobielbedrijven B.V.,51.615311,5.554875,"Heuvelplein 3, 5463 XG Veghel",Heuvelplein 3,,5463 XG,Veghel,NL,,Noord-Brabant,,,,,0,False,False
GS00110369,Mercedes,GC0037249,Vestiging Roosendaal,Louwman MB B.V.,51.542095,4.495101,"Bredaseweg  225-227, 4705 RN Roosendaal",Bredaseweg  225-227,,4705 RN,Roosendaal,NL,Noord-Brabant,Roosendaal,,,,,0,False,False
GS0001982,Mercedes,GC0001220,Vestiging Heerenveen,Wensink Automotive B.V.,52.966908,5.935464,"Venus 1, 8448 CE Heerenveen",Venus 1,,8448 CE,Heerenveen,NL,,Friesland,,,,,0,False,False
GS0038139,Mercedes,GC0001198,Vestiging Eindhoven,Smeets Autogroep B.V.,51.484261,5.425861,"Steenoven 17, 5626 DK Eindhoven",Steenoven 17,,5626 DK,Eindhoven,NL,,Noord-Brabant,,,,,0,False,False
GS0001996,Mercedes,GC0001220,Vestiging Doetinchem,Wensink Automotive B.V.,51.949578,6.304378,"Havenstraat 63, 7005 AG Doetinchem",Havenstraat 63,,7005 AG,Doetinchem,NL,,Gelderland,,,,,0,False,False
GS00111939,Mercedes,GC00100463,vestiging Heijen,Truck & Trailer Groep B.V.,51.663182,5.993429,"De Grens 2, 6598 DL Heijen",De Grens 2,,6598 DL,Heijen,NL,,Limburg,,,,,0,False,False
GS0001902,Mercedes,GC0001191,Vestiging Rijssen,Baan Twente B.V.,52.326003,6.499261,"Provincialeweg Zuna 2, 7466 PK Zuna (Rijssen)",Provincialeweg Zuna 2,,7466 PK,Zuna (Rijssen),NL,,Overijssel,,,,,0,False,False
GS00113523,Mercedes,GC0001213,vestiging Eindhoven,Gomes Noord-Holland B.V.,51.431718,5.504683,"Hugo van der Goeslaan  49, 5643 TX Eindhoven",Hugo van der Goeslaan  49,,5643 TX,Eindhoven,NL,Noord-Brabant,Eindhoven,,,,,0,False,False
GS0001980,Mercedes,GC0001220,Vestiging Leeuwarden,Wensink Automotive B.V.,53.19659,5.84879,"Icarusweg 2, 8938 AX Leeuwarden",Icarusweg 2,,8938 AX,Leeuwarden,NL,Friesland,Leeuwarden,,,,,0,False,False
GS0001983,Mercedes,GC0001220,Vestiging Drachten,Wensink Automotive B.V.,53.120523,6.076118,"De Kletten 20, 9206 BA Drachten",De Kletten 20,,9206 BA,Drachten,NL,,Friesland,,,,,0,False,False
GS0002007,Mercedes,GC0001220,Vestiging Hoogeveen,Wensink Automotive B.V.,52.713317,6.517556,"Buitenvaart 3003, 7905 TA Hoogeveen",Buitenvaart 3003,,7905 TA,Hoogeveen,NL,,Drenthe,,,,,0,False,False
GS00110368,Mercedes,GC0037249,Vestiging Goes,Louwman MB B.V.,51.493015,3.8786,"Albert Plesmanweg 2, 4462 GC Goes",Albert Plesmanweg 2,,4462 GC,Goes,NL,Zeeland,Goes,,,,,0,False,False
GS0001901,Mercedes,GC0001191,Vestiging Hengelo,Baan Twente B.V.,52.24281,6.761389,"Goudstraat 20, 7554 ND Hengelo",Goudstraat 20,,7554 ND,Hengelo,NL,Overijssel,Hengelo,,,,,0,False,False
GS0002005,Mercedes,GC0001220,Vestiging Assen,Wensink Automotive B.V.,53.026245,6.577837,"Duitslandlaan 2, 9403 DK Assen",Duitslandlaan 2,,9403 DK,Assen,NL,Drenthe,Assen,,,,,0,False,False
GS0001904,Mercedes,GC0001191,Vestiging Oldenzaal,Baan Twente B.V.,52.298119,6.928456,"Schelmaatstraat 10, 7575 BD Oldenzaal",Schelmaatstraat 10,,7575 BD,Oldenzaal,NL,,Overijssel,,,,,0,False,False
GS00110370,Mercedes,GC0037249,Vestiging Terneuzen,Louwman MB B.V.,51.302904,3.846669,"Productiestraat 4, 4538 BX Terneuzen",Productiestraat 4,,4538 BX,Terneuzen,NL,Zeeland,Terneuzen,,,,,0,False,False
GS0038138,Mercedes,GC0001198,Vestiging Venlo,Smeets Autogroep B.V.,51.377903,6.15825,"Venrayseweg 30, 5928 NZ Venlo",Venrayseweg 30,,5928 NZ,Venlo,NL,,Limburg,,,,,0,False,False
GS0002006,Mercedes,GC0001220,Vestiging Emmen,Wensink Automotive B.V.,52.770044,6.928378,"Albatrosstraat 8, 7821 AM Emmen",Albatrosstraat 8,,7821 AM,Emmen,NL,,Drenthe,,,,,0,False,False
GS0014443,Mercedes,GC0001198,Vestiging Ittervoort,Smeets Autogroep B.V.,51.177228,5.838864,"Australiestraat 4, 6014 DC Ittervoort",Australiestraat 4,,6014 DC,Ittervoort,NL,,Limburg,,,,,0,False,False
GS0001936,Mercedes,GC0001220,Vestiging Groningen,Wensink Automotive B.V.,53.209743,6.600176,"Uppsalaweg 3, 9723 AH Groningen",Uppsalaweg 3,,9723 AH,Groningen,NL,Groningen,Groningen,,,,,0,False,False
GS0053463,Mercedes,GC0042565,Gomes Echt B.V.,Gomes Echt B.V.,51.124444,5.890194,"Fahrenheitweg 20, 6101 WR Echt-Susteren",Fahrenheitweg 20,,6101 WR,Echt-Susteren,NL,,Limburg,,,,,0,False,False
GS00111940,Mercedes,GC00100463,vestiging Winschoten,Truck & Trailer Groep B.V.,53.149611,7.050848,"Papierbaan 1, 9672 BG Winschoten",Papierbaan 1,,9672 BG,Winschoten,NL,,Groningen,,,,,0,False,False
GS0001922,Mercedes,GC0001198,Vestiging Heerlen,Smeets Autogroep B.V.,50.902122,5.936003,"Handelsstraat 2, 6433 KB Heerlen",Handelsstraat 2,,6433 KB,Heerlen,NL,,Limburg,,,,,0,False,False
